EBELN,EBELP,MATNR,MAKTX,LIFNR,PROGRAM,CRITICALITY,MENGE,MEINS,NETPR,NETWR,WAERS,EINDT,BEDAT,ACTUAL_DELIVERY,DELAY_DAYS,PAD_ANOMALY,STATUS
45100061,00010,NSN-5719-559398,Al-Li dome gore,100055,EGS-Ground,Routine,8,EA,541509.53,4332076.27,USD,2026-02-04,2026-01-27,2026-02-04,0,,Delivered
45100062,00010,NSN-9153-711484,MLI blanket set,100097,SR1-Freedom,Critical,18,SET,6279963.1,113039335.85,USD,2027-03-15,2026-03-24,2027-03-15,0,,Open
45100063,00010,NSN-6952-850689,Cryo transfer line,100103,Artemis-3,Essential,15,EA,1893981.42,28409721.35,USD,2026-03-10,2025-11-29,2026-03-10,0,,Delivered
45100064,00010,NSN-5267-164401,Li-ion battery module,100115,Artemis-3,Essential,39,LOT,2100388.66,81915157.6,USD,2026-02-19,2025-11-23,2026-06-29,130,,Open-Late
45100065,00010,NSN-3250-310026,Titanium thrust bracket,100072,Moon-Base,Essential,33,SET,2138225.0,70561425.15,USD,2026-07-16,2026-02-04,2026-08-14,29,,Open-Late
45100066,00010,NSN-4002-901834,Heat-pipe radiator panel,100013,Artemis-3,Critical,12,EA,1923462.45,23081549.41,USD,2026-05-10,2025-10-17,2026-05-10,0,,Delivered
45100067,00010,NSN-3108-998435,Ablative TPS tile,100013,Moon-Base,Routine,15,SET,711659.47,10674892.11,USD,2026-05-29,2026-05-14,2026-05-29,0,,Delivered
45100068,00010,NSN-7484-387813,Inertial measurement unit,100088,Moon-Base,Critical,35,EA,4100963.33,143533716.4,USD,2026-07-30,2026-03-07,2026-10-14,76,,Open-Late
45100069,00010,NSN-2405-217830,Titanium thrust bracket,100082,SR1-Freedom,Routine,4,EA,321412.85,1285651.4,USD,2026-07-06,2026-05-07,2026-07-06,0,,Open
45100070,00010,NSN-6622-861842,MLI blanket set,100015,EGS-Ground,Routine,34,EA,206085.39,7006903.4,USD,2026-03-18,2026-01-28,2026-03-18,0,,Delivered
45100071,00010,NSN-2226-720647,Ground command toolkit,100006,Artemis-3,Essential,18,SET,1918417.35,34531512.3,USD,2026-08-10,2026-05-24,2026-08-10,0,,Open
45100072,00010,NSN-7434-613234,MLI blanket set,100042,SR1-Freedom,Critical,6,EA,5904032.12,35424192.74,USD,2027-01-26,2026-05-14,2027-05-23,117,X,Open-Late
45100073,00010,NSN-5301-189211,Flight software license,100009,Gateway,Essential,16,SET,1564499.68,25031994.91,USD,2026-02-06,2025-11-20,2026-03-22,44,,Delivered
45100074,00010,NSN-5332-662636,Inertial measurement unit,100061,Artemis-3,Critical,28,EA,826822.75,23151036.88,USD,2027-02-27,2026-04-25,2027-06-14,107,,Open-Late
45100075,00010,NSN-4891-200575,Li-ion battery module,100011,Artemis-3,Critical,16,EA,26712.3,427396.74,USD,2026-12-14,2025-10-28,2027-04-20,127,,Open-Late
45100076,00010,NSN-2608-307007,Li-ion battery module,100066,Moon-Base,Routine,16,LOT,87644.32,1402309.06,USD,2025-11-17,2025-10-19,2025-11-17,0,,Delivered
45100077,00010,NSN-4308-576769,Pad water deluge nozzle,100074,SR1-Freedom,Critical,8,SET,706302.68,5650421.44,USD,2026-08-03,2025-10-22,2026-08-03,0,,Open
45100078,00010,NSN-3093-802667,Connector backshell,100100,Gateway,Routine,9,EA,383491.79,3451426.11,USD,2025-12-03,2025-10-16,2025-12-03,0,,Delivered
45100079,00010,NSN-4054-308535,Turbopump impeller,100008,EGS-Ground,Essential,7,SET,787971.42,5515799.97,USD,2026-05-12,2026-03-23,2026-05-23,11,,Delivered
45100080,00010,NSN-9238-158104,Flight software license,100079,Moon-Base,Routine,27,EA,270682.61,7308430.58,USD,2025-12-25,2025-11-29,2025-12-25,0,,Delivered
45100081,00010,NSN-5659-740774,Al-Li dome gore,100049,EGS-Ground,Routine,30,EA,252730.05,7581901.56,USD,2026-05-28,2026-04-22,2026-05-28,0,,Delivered
45100082,00010,NSN-9697-626169,Rad-hard memory array,100005,Artemis-3,Routine,30,EA,506346.09,15190382.79,USD,2026-04-10,2026-02-10,2026-05-09,29,,Delivered
45100083,00010,NSN-3658-289630,Titanium thrust bracket,100075,Artemis-3,Routine,13,EA,502061.78,6526803.08,USD,2026-05-29,2026-05-20,2026-05-29,0,,Delivered
45100084,00010,NSN-6354-626806,Al-Li dome gore,100061,Gateway,Routine,40,LOT,666686.92,26667476.79,USD,2026-03-13,2026-01-22,2026-03-13,0,,Delivered
45100085,00010,NSN-3303-600646,Titanium thrust bracket,100039,Moon-Base,Essential,38,EA,1145079.69,43513028.36,USD,2026-03-07,2026-01-20,2026-03-07,0,,Delivered
45100086,00010,NSN-2631-873637,Flight computer module,100106,Moon-Base,Critical,35,EA,2927469.06,102461417.14,USD,2026-09-18,2026-04-17,2026-11-22,65,,Open-Late
45100087,00010,NSN-5408-291663,Ablative TPS tile,100001,Moon-Base,Routine,34,EA,542253.98,18436635.27,USD,2026-04-23,2026-02-28,2026-04-23,0,,Delivered
45100088,00010,NSN-3243-308936,Cryo transfer line,100109,SR1-Freedom,Critical,4,EA,7516214.19,30064856.77,USD,2026-11-28,2026-01-17,2027-04-06,129,,Open-Late
45100089,00010,NSN-5668-888939,Mobile launcher umbilical,100095,Artemis-3,Routine,22,SET,900666.88,19814671.39,USD,2025-12-29,2025-11-18,2025-12-29,0,,Delivered
45100090,00010,NSN-7760-777308,Ablative TPS tile,100109,EGS-Ground,Routine,38,EA,655208.05,24897905.74,USD,2026-03-12,2026-02-22,2026-03-12,0,,Delivered
45100091,00010,NSN-5478-921609,RAD-hard FPGA board,100013,Gateway,Routine,30,LOT,316394.21,9491826.3,USD,2026-06-11,2026-05-13,2026-06-11,0,,Open
45100092,00010,NSN-4750-807053,Cryo valve assembly,100081,Artemis-3,Routine,15,EA,425140.65,6377109.75,USD,2026-05-21,2026-03-27,2026-05-21,0,,Delivered
45100093,00010,NSN-7760-777308,Ablative TPS tile,100103,EGS-Ground,Routine,25,EA,564935.53,14123388.33,USD,2025-12-10,2025-11-22,2025-12-10,0,,Delivered
45100094,00010,NSN-7807-975271,Power distribution unit,100009,Moon-Base,Essential,23,LOT,1010983.6,23252622.77,USD,2026-01-23,2025-10-08,2026-01-23,0,,Delivered
45100095,00010,NSN-9270-374375,Mobile launcher umbilical,100116,Gateway,Essential,24,EA,2199089.65,52778151.67,USD,2025-11-30,2025-10-12,2025-11-30,0,,Delivered
45100096,00010,NSN-8620-396020,Cryo valve assembly,100039,Gateway,Routine,17,EA,5795.65,98526.05,USD,2026-04-15,2026-04-03,2026-08-06,113,,Open-Late
45100097,00010,NSN-7302-994787,MLI blanket set,100022,EGS-Ground,Essential,17,EA,763920.62,12986650.58,USD,2026-10-11,2026-05-22,2027-01-30,111,,Open-Late
45100098,00010,NSN-6511-631958,Power distribution unit,100036,Artemis-3,Routine,22,EA,421490.65,9272794.34,USD,2026-07-19,2026-05-28,2026-09-20,63,,Open-Late
45100099,00010,NSN-6228-405605,Ground command toolkit,100067,Artemis-3,Routine,40,SET,576538.22,23061528.76,USD,2026-06-10,2026-05-14,2026-06-10,0,,Open
45100100,00010,NSN-3188-601410,Heat-pipe radiator panel,100101,Gateway,Critical,13,EA,5744328.61,74676271.88,USD,2026-09-26,2025-11-19,2026-09-26,0,,Open
45100101,00010,NSN-3315-828834,Pad water deluge nozzle,100081,EGS-Ground,Routine,16,EA,39154.52,626472.27,USD,2026-07-07,2026-05-24,2026-09-28,83,,Open-Late
45100102,00010,NSN-3171-829987,Cryo valve assembly,100101,Gateway,Routine,10,SET,600519.51,6005195.13,USD,2026-01-25,2025-12-23,2026-01-25,0,,Delivered
45100103,00010,NSN-3875-740632,MLI blanket set,100092,SR1-Freedom,Routine,33,EA,279153.09,9212052.07,USD,2026-04-07,2026-02-27,2026-04-07,0,,Delivered
45100104,00010,NSN-5467-256574,Cryo valve assembly,100030,EGS-Ground,Critical,40,LOT,864841.36,34593654.59,USD,2026-04-13,2025-10-17,2026-06-06,54,,Delivered
45100105,00010,NSN-8144-523533,Cryo transfer line,100047,Gateway,Routine,32,LOT,93748.54,2999953.16,USD,2026-02-17,2026-02-10,2026-02-17,0,,Delivered
45100106,00010,NSN-6640-193624,Ground command toolkit,100091,SR1-Freedom,Essential,32,LOT,1128474.51,36111184.33,USD,2026-06-27,2026-01-30,2026-06-27,0,,Open
45100107,00010,NSN-2631-873637,Flight computer module,100106,Moon-Base,Critical,3,EA,2818464.06,8455392.18,USD,2026-04-26,2025-11-23,2026-05-26,30,,Delivered
45100108,00010,NSN-2276-699298,Li-ion battery module,100051,EGS-Ground,Essential,20,SET,3011532.27,60230645.32,USD,2026-03-16,2026-01-17,2026-03-16,0,,Delivered
45100109,00010,NSN-8722-742865,Li-ion battery module,100009,Gateway,Essential,17,EA,1849187.47,31436187.07,USD,2026-08-09,2026-02-18,2026-11-18,101,,Open-Late
45100110,00010,NSN-9706-627778,Flight computer module,100087,EGS-Ground,Routine,15,EA,424359.93,6365399.0,USD,2026-04-17,2026-02-27,2026-06-26,70,,Open-Late
45100111,00010,NSN-6363-250255,Li-ion battery module,100055,Moon-Base,Routine,27,SET,561824.86,15169271.28,USD,2026-02-22,2026-01-03,2026-02-22,0,,Delivered
45100112,00010,NSN-6706-599292,Cryo transfer line,100056,SR1-Freedom,Critical,15,EA,5644117.0,84661754.94,USD,2026-11-23,2025-12-07,2026-11-23,0,,Open
45100113,00010,NSN-2113-112542,Inertial measurement unit,100007,Artemis-3,Essential,33,EA,671728.49,22167040.18,USD,2026-04-29,2026-02-17,2026-04-29,0,,Delivered
45100114,00010,NSN-9234-772124,Cryo valve assembly,100015,EGS-Ground,Critical,5,LOT,6141488.25,30707441.23,USD,2027-02-22,2026-01-01,2027-03-24,30,,Open-Late
45100115,00010,NSN-4891-200575,Li-ion battery module,100011,Artemis-3,Critical,20,EA,28950.63,579012.58,USD,2027-05-26,2026-04-09,2027-05-26,0,,Open
45100116,00010,NSN-9715-497700,Flight software license,100014,Artemis-3,Routine,35,EA,167952.34,5878331.74,USD,2026-06-20,2026-05-22,2026-10-01,103,,Open-Late
45100117,00010,NSN-5828-669097,Cryo transfer line,100043,Artemis-3,Routine,26,EA,585129.88,15213376.9,USD,2026-06-09,2026-04-29,2026-06-09,0,,Open
45100118,00010,NSN-2390-763529,Mobile launcher umbilical,100036,SR1-Freedom,Essential,10,LOT,2091246.99,20912469.87,USD,2026-07-29,2026-05-10,2026-07-29,0,,Open
45100119,00010,NSN-8464-425469,Turbopump impeller,100038,Moon-Base,Routine,15,LOT,687199.21,10307988.12,USD,2026-03-03,2026-02-10,2026-03-03,0,,Delivered
45100120,00010,NSN-3877-303440,Flight computer module,100043,Moon-Base,Essential,6,SET,1480303.66,8881821.97,USD,2026-06-05,2025-12-20,2026-06-05,0,,Delivered
45100121,00010,NSN-2544-139569,Titanium thrust bracket,100026,EGS-Ground,Essential,29,EA,592662.75,17187219.68,USD,2026-04-14,2026-01-24,2026-04-14,0,,Delivered
45100122,00010,NSN-5947-710754,Rad-hard memory array,100110,Moon-Base,Routine,20,EA,47760.85,955217.0,USD,2026-05-25,2026-04-07,2026-09-10,108,,Open-Late
45100123,00010,NSN-6211-574751,Connector backshell,100053,SR1-Freedom,Essential,28,EA,443718.02,12424104.69,USD,2026-06-29,2026-03-25,2026-06-29,0,,Open
45100124,00010,NSN-4946-446968,Connector backshell,100041,Gateway,Routine,38,EA,286966.28,10904718.65,USD,2025-10-27,2025-10-06,2025-10-27,0,,Delivered
45100125,00010,NSN-3316-229221,RAD-hard FPGA board,100072,SR1-Freedom,Critical,39,EA,2841009.87,110799384.77,USD,2027-07-09,2026-05-22,2027-07-09,0,,Open
45100126,00010,NSN-3293-888996,Combustion chamber liner,100050,Moon-Base,Critical,5,EA,2043365.06,10216825.3,USD,2026-12-27,2026-02-14,2027-03-02,65,,Open-Late
45100127,00010,NSN-9967-391622,Ablative TPS tile,100081,Moon-Base,Essential,20,EA,125567.66,2511353.24,USD,2026-01-30,2025-10-24,2026-05-01,91,,Delivered
45100128,00010,NSN-4878-846722,Mobile launcher umbilical,100003,EGS-Ground,Essential,12,EA,1174492.18,14093906.15,USD,2026-04-07,2025-11-20,2026-08-13,128,,Open-Late
45100129,00010,NSN-8606-152512,Solar array wing,100084,Artemis-3,Critical,34,EA,2888054.38,98193848.98,USD,2026-05-15,2025-10-18,2026-05-15,0,,Delivered
45100130,00010,NSN-4729-371212,Combustion chamber liner,100004,SR1-Freedom,Essential,27,EA,1019076.16,27515056.31,USD,2026-06-06,2026-01-09,2026-06-25,19,,Open-Late
45100131,00010,NSN-5668-888939,Mobile launcher umbilical,100095,Artemis-3,Routine,25,SET,703912.01,17597800.19,USD,2026-06-30,2026-05-20,2026-06-30,0,,Open
45100132,00010,NSN-4054-308535,Turbopump impeller,100104,EGS-Ground,Essential,31,SET,842951.86,26131507.65,USD,2025-12-30,2025-11-10,2025-12-30,0,,Delivered
45100133,00010,NSN-4163-135695,Power distribution unit,100091,Moon-Base,Critical,30,EA,8473188.24,254195647.15,USD,2026-05-26,2025-12-10,2026-06-18,23,,Open-Late
45100134,00010,NSN-7204-468292,Pad water deluge nozzle,100089,Moon-Base,Essential,34,EA,431608.78,14674698.61,USD,2026-06-09,2025-12-24,2026-06-09,0,,Open
45100135,00010,NSN-4033-561023,Rad-hard memory array,100005,Gateway,Routine,6,LOT,324893.65,1949361.87,USD,2026-02-11,2025-12-13,2026-02-11,0,,Delivered
45100136,00010,NSN-9504-648513,Connector backshell,100050,Moon-Base,Routine,40,SET,356842.73,14273709.18,USD,2026-06-17,2026-04-29,2026-06-17,0,,Open
45100137,00010,NSN-4054-308535,Turbopump impeller,100058,EGS-Ground,Essential,25,SET,711673.87,17791846.82,USD,2026-07-11,2026-05-22,2026-07-11,0,,Open
45100138,00010,NSN-3002-530764,Connector backshell,100030,Artemis-3,Essential,11,LOT,996438.09,10960818.99,USD,2026-02-06,2025-12-10,2026-02-06,0,,Delivered
45100139,00010,NSN-9317-908320,Combustion chamber liner,100073,EGS-Ground,Essential,14,SET,358394.04,5017516.52,USD,2026-07-14,2026-05-21,2026-07-14,0,,Open
45100140,00010,NSN-5408-291663,Ablative TPS tile,100009,Moon-Base,Routine,7,EA,583480.46,4084363.21,USD,2026-04-02,2026-02-07,2026-04-02,0,,Delivered
45100141,00010,NSN-7512-593821,Power distribution unit,100072,Gateway,Essential,14,SET,528470.2,7398582.85,USD,2026-04-16,2026-02-07,2026-04-24,8,,Delivered
45100142,00010,NSN-3877-303440,Flight computer module,100048,Moon-Base,Essential,22,SET,1099350.74,24185716.25,USD,2026-09-23,2026-04-09,2026-09-23,0,,Open
45100143,00010,NSN-4891-200575,Li-ion battery module,100011,Artemis-3,Critical,8,EA,33774.68,270197.4,USD,2027-05-17,2026-03-31,2027-05-17,0,,Open
45100144,00010,NSN-6212-846348,Flight software license,100059,Moon-Base,Essential,5,EA,1463302.28,7316511.39,USD,2026-03-27,2025-10-22,2026-03-27,0,,Delivered
45100145,00010,NSN-5009-876513,Flight computer module,100060,SR1-Freedom,Critical,18,EA,1011484.91,18206728.3,USD,2027-04-13,2026-05-04,2027-10-27,197,X,Open-Late
45100146,00010,NSN-8444-772464,Solar array wing,100070,Artemis-3,Essential,35,EA,562792.06,19697722.06,USD,2026-06-26,2026-04-08,2026-06-26,0,,Open
45100147,00010,NSN-9148-409963,RAD-hard FPGA board,100019,SR1-Freedom,Essential,29,LOT,1656245.28,48031113.25,USD,2026-05-28,2025-12-31,2026-09-01,96,,Open-Late
45100148,00010,NSN-4742-876764,Turbopump impeller,100056,Gateway,Essential,29,EA,1023203.58,29672903.78,USD,2026-05-15,2026-03-28,2026-08-09,86,,Open-Late
45100149,00010,NSN-8642-228473,Ablative TPS tile,100049,Artemis-3,Essential,20,LOT,2439310.49,48786209.78,USD,2026-04-13,2026-01-22,2026-04-18,5,,Delivered
45100150,00010,NSN-1152-108454,Mobile launcher umbilical,100118,Gateway,Routine,16,SET,48145.16,770322.63,USD,2026-02-24,2026-01-04,2026-02-24,0,,Delivered
45100151,00010,NSN-5332-662636,Inertial measurement unit,100001,Artemis-3,Critical,22,EA,1004507.27,22099159.9,USD,2027-03-03,2026-04-29,2027-06-01,90,,Open-Late
45100152,00010,NSN-9238-158104,Flight software license,100102,Moon-Base,Routine,11,EA,286914.25,3156056.76,USD,2026-04-30,2026-04-04,2026-06-27,58,,Open-Late
45100153,00010,NSN-5203-666479,Ground command toolkit,100071,EGS-Ground,Routine,13,SET,739780.32,9617144.11,USD,2026-05-07,2026-03-09,2026-05-07,0,,Delivered
