MATNR,MAKTX,MATKL,PROGRAM,CRITICALITY,STD_LEAD_TIME_DAYS,STD_UNIT_COST_USD,UOM
NSN-2029-216242,Pad water deluge nozzle,GSE,EGS-Ground,Routine,47,181487.71,EA
NSN-8032-101640,Power distribution unit,Power,SR1-Freedom,Essential,151,1308782.87,EA
NSN-9618-670511,Combustion chamber liner,Propulsion,SR1-Freedom,Essential,50,1589231.63,EA
NSN-1266-474440,Power distribution unit,Power,SR1-Freedom,Routine,53,578636.31,EA
NSN-1726-469412,Titanium thrust bracket,Structures,Moon-Base,Essential,163,2028772.48,EA
NSN-1605-407696,Cryo transfer line,GSE,EGS-Ground,Critical,222,2986951.22,LOT
NSN-5150-138399,Mobile launcher umbilical,GSE,Artemis-3,Routine,29,204945.16,EA
NSN-7553-879414,Ground command toolkit,Software,Gateway,Essential,131,918462.22,LOT
NSN-2353-862400,Solar array wing,Power,Artemis-3,Essential,91,256629.38,EA
NSN-6021-567576,Solar array wing,Power,Artemis-3,Essential,87,1117907.08,EA
NSN-5498-770532,Telemetry decoder,Software,Gateway,Routine,49,272512.0,EA
NSN-3339-989894,Flight computer module,Avionics,Moon-Base,Essential,53,1946321.66,EA
NSN-7272-694799,Rad-hard memory array,EEE,Gateway,Critical,198,5723240.15,LOT
NSN-9674-484774,Composite interstage panel,Structures,Moon-Base,Essential,108,1247685.04,SET
NSN-5288-912609,Combustion chamber liner,Propulsion,Gateway,Essential,99,500565.83,EA
NSN-8406-281043,Cryo valve assembly,Propulsion,Artemis-3,Routine,58,500894.79,EA
NSN-5914-992717,Li-ion battery module,Power,SR1-Freedom,Critical,209,7388500.79,EA
NSN-9094-127560,Heat-pipe radiator panel,Thermal,Moon-Base,Essential,139,1529929.11,EA
NSN-6067-517500,Combustion chamber liner,Propulsion,EGS-Ground,Routine,33,55354.72,EA
NSN-8372-588461,Cryo valve assembly,Propulsion,EGS-Ground,Routine,60,136509.16,EA
NSN-9238-158104,Flight software license,Software,Moon-Base,Routine,26,242026.04,EA
NSN-9501-397846,Connector backshell,EEE,Artemis-3,Routine,47,93917.09,EA
NSN-9234-772124,Cryo valve assembly,Propulsion,EGS-Ground,Critical,417,5404871.48,LOT
NSN-1674-965322,Connector backshell,EEE,Artemis-3,Routine,48,488363.18,LOT
NSN-1496-622230,Ground command toolkit,Software,Gateway,Routine,48,183692.41,SET
NSN-8430-176517,Solar array wing,Power,Gateway,Routine,33,153053.08,LOT
NSN-6121-853258,Titanium thrust bracket,Structures,EGS-Ground,Essential,147,1404193.79,EA
NSN-8642-228473,Ablative TPS tile,Thermal,Artemis-3,Essential,81,2363470.42,LOT
NSN-5067-267457,Flight software license,Software,Gateway,Routine,19,746977.24,SET
NSN-6055-621530,Mobile launcher umbilical,GSE,Moon-Base,Critical,321,4375268.34,EA
NSN-5609-618934,Flight computer module,Avionics,SR1-Freedom,Essential,118,1077404.78,EA
NSN-7606-483713,Connector backshell,EEE,Artemis-3,Critical,146,551905.03,LOT
NSN-5582-965401,Cryo transfer line,GSE,Artemis-3,Routine,13,596182.15,EA
NSN-3363-308727,Space-grade DC-DC converter,EEE,SR1-Freedom,Essential,173,342720.38,EA
NSN-9508-579187,Pad water deluge nozzle,GSE,Artemis-3,Critical,383,1219142.22,LOT
NSN-6511-631958,Power distribution unit,Power,Artemis-3,Routine,52,356193.08,EA
NSN-6427-806537,Connector backshell,EEE,SR1-Freedom,Critical,333,4477003.51,EA
NSN-1841-711868,Heat-pipe radiator panel,Thermal,Moon-Base,Essential,142,79071.55,EA
NSN-1310-562462,Ablative TPS tile,Thermal,Gateway,Essential,150,1254623.49,LOT
NSN-2020-840058,Cryo transfer line,GSE,EGS-Ground,Critical,226,2826466.25,EA
NSN-9734-458955,Mobile launcher umbilical,GSE,Artemis-3,Essential,168,1395282.91,EA
NSN-5735-839142,Solar array wing,Power,EGS-Ground,Critical,370,7002782.65,EA
NSN-2996-701334,Solar array wing,Power,Moon-Base,Routine,59,217871.42,EA
NSN-6674-563864,Cryo valve assembly,Propulsion,Artemis-3,Routine,19,699770.96,EA
NSN-2789-745584,Al-Li dome gore,Structures,EGS-Ground,Routine,10,169288.58,EA
NSN-2641-533377,Flight computer module,Avionics,SR1-Freedom,Essential,70,2411302.24,EA
NSN-8793-600641,Telemetry decoder,Software,SR1-Freedom,Routine,25,680956.86,EA
NSN-9767-874568,Ablative TPS tile,Thermal,SR1-Freedom,Routine,33,747878.98,SET
NSN-4052-885386,Cryo transfer line,GSE,EGS-Ground,Routine,7,452105.1,EA
NSN-8444-772464,Solar array wing,Power,Artemis-3,Essential,79,482149.57,EA
NSN-3662-866634,Connector backshell,EEE,Artemis-3,Essential,92,1976950.55,LOT
NSN-3875-740632,MLI blanket set,Thermal,SR1-Freedom,Routine,39,300651.9,EA
NSN-3303-600646,Titanium thrust bracket,Structures,Moon-Base,Essential,46,1116921.79,EA
NSN-5947-710754,Rad-hard memory array,EEE,Moon-Base,Routine,48,46635.45,EA
NSN-6026-267475,Mobile launcher umbilical,GSE,Artemis-3,Essential,124,918954.63,EA
NSN-3188-601410,Heat-pipe radiator panel,Thermal,Gateway,Critical,311,5680238.12,EA
NSN-2341-651033,Ablative TPS tile,Thermal,SR1-Freedom,Essential,64,2071960.82,LOT
NSN-9792-257131,Heat-pipe radiator panel,Thermal,Moon-Base,Critical,386,5377012.13,SET
NSN-9361-567122,Combustion chamber liner,Propulsion,Gateway,Routine,39,422953.01,LOT
NSN-6049-858414,Mobile launcher umbilical,GSE,EGS-Ground,Critical,250,548138.58,SET
NSN-2044-667451,Rad-hard memory array,EEE,Gateway,Routine,9,135022.9,EA
NSN-7135-501058,Telemetry decoder,Software,EGS-Ground,Essential,141,332604.57,EA
NSN-3924-663356,Turbopump impeller,Propulsion,SR1-Freedom,Essential,102,2446229.93,SET
NSN-9715-497700,Flight software license,Software,Artemis-3,Routine,29,141396.86,EA
NSN-7868-744793,Flight computer module,Avionics,SR1-Freedom,Routine,20,445476.38,SET
NSN-5009-876513,Flight computer module,Avionics,SR1-Freedom,Critical,344,1051403.75,EA
NSN-6224-705526,Ablative TPS tile,Thermal,EGS-Ground,Essential,105,552723.69,EA
NSN-1998-683761,Solar array wing,Power,SR1-Freedom,Routine,42,729218.92,SET
NSN-7821-528090,Connector backshell,EEE,Gateway,Critical,312,1807602.98,EA
NSN-3365-944917,Power distribution unit,Power,EGS-Ground,Essential,150,335361.76,EA
NSN-4331-446305,Power distribution unit,Power,Moon-Base,Essential,139,128983.84,SET
NSN-2192-297303,Flight computer module,Avionics,Artemis-3,Routine,37,227422.38,EA
NSN-4113-877493,Heat-pipe radiator panel,Thermal,Moon-Base,Critical,365,2975011.96,EA
NSN-5637-499152,Rad-hard memory array,EEE,EGS-Ground,Essential,123,2207047.46,SET
NSN-8692-898625,Combustion chamber liner,Propulsion,SR1-Freedom,Routine,27,421913.23,EA
NSN-1265-373441,Composite interstage panel,Structures,Moon-Base,Essential,151,824763.74,SET
NSN-9180-677390,MLI blanket set,Thermal,Gateway,Routine,55,345646.01,EA
NSN-3293-855303,Composite interstage panel,Structures,SR1-Freedom,Essential,60,2362978.5,EA
NSN-7756-244170,Flight computer module,Avionics,SR1-Freedom,Routine,52,164074.91,SET
NSN-1990-747847,Space-grade DC-DC converter,EEE,EGS-Ground,Essential,169,1379176.16,EA
NSN-9673-857273,RAD-hard FPGA board,Avionics,Gateway,Essential,49,2015448.32,EA
NSN-2578-649857,Combustion chamber liner,Propulsion,Artemis-3,Critical,218,5962114.77,EA
NSN-7652-581294,Space-grade DC-DC converter,EEE,SR1-Freedom,Essential,121,233887.24,SET
NSN-8798-158840,Ground command toolkit,Software,Artemis-3,Essential,66,1414706.69,EA
NSN-4764-321686,Flight computer module,Avionics,SR1-Freedom,Routine,24,513335.76,EA
NSN-3938-991737,RAD-hard FPGA board,Avionics,Gateway,Essential,81,2322198.02,EA
NSN-4939-694223,Al-Li dome gore,Structures,Moon-Base,Routine,31,592882.99,EA
NSN-1879-202430,Connector backshell,EEE,EGS-Ground,Essential,132,991848.12,EA
NSN-5478-921609,RAD-hard FPGA board,Avionics,Gateway,Routine,29,323911.53,LOT
NSN-2404-909676,Ground command toolkit,Software,Moon-Base,Essential,63,950092.98,EA
NSN-6188-478221,Ground command toolkit,Software,Artemis-3,Critical,122,767139.6,EA
NSN-8061-570646,Composite interstage panel,Structures,SR1-Freedom,Essential,149,884882.63,EA
NSN-7311-112940,Connector backshell,EEE,Moon-Base,Essential,66,1429965.28,EA
NSN-3777-245584,Flight software license,Software,Moon-Base,Essential,171,1086775.47,SET
NSN-8933-920685,Power distribution unit,Power,Gateway,Critical,248,4453730.77,EA
NSN-2752-242071,Pad water deluge nozzle,GSE,Gateway,Essential,130,2010220.54,EA
NSN-6484-551533,Pad water deluge nozzle,GSE,Moon-Base,Routine,27,359280.75,EA
NSN-6228-405605,Ground command toolkit,Software,Artemis-3,Routine,27,612379.14,SET
NSN-2865-691240,Connector backshell,EEE,SR1-Freedom,Critical,399,7147555.73,SET
NSN-8183-936433,MLI blanket set,Thermal,Moon-Base,Essential,149,1583395.1,EA
NSN-3525-849979,Power distribution unit,Power,Gateway,Essential,63,1455672.71,LOT
NSN-9907-138551,Flight software license,Software,Artemis-3,Routine,13,124791.38,LOT
NSN-7547-889245,Flight computer module,Avionics,Artemis-3,Essential,72,555119.4,LOT
NSN-8303-492292,Ablative TPS tile,Thermal,Gateway,Essential,83,261507.71,SET
NSN-2901-971699,Combustion chamber liner,Propulsion,Gateway,Routine,26,588212.21,LOT
NSN-6706-599292,Cryo transfer line,GSE,SR1-Freedom,Critical,351,6076479.94,EA
NSN-6620-779445,Flight computer module,Avionics,EGS-Ground,Critical,204,1201395.77,LOT
NSN-8570-343118,Telemetry decoder,Software,Gateway,Routine,47,296713.98,LOT
NSN-8365-720970,MLI blanket set,Thermal,SR1-Freedom,Essential,99,1443433.16,LOT
NSN-6993-441819,Titanium thrust bracket,Structures,EGS-Ground,Critical,178,7244388.34,EA
NSN-7431-715519,Flight software license,Software,Artemis-3,Critical,300,6890155.94,LOT
NSN-3194-428399,Combustion chamber liner,Propulsion,Moon-Base,Critical,276,3831406.65,SET
NSN-7286-543588,Composite interstage panel,Structures,Gateway,Critical,395,2166580.83,EA
NSN-8389-749498,Space-grade DC-DC converter,EEE,Moon-Base,Critical,303,6114202.71,LOT
NSN-7703-817956,Mobile launcher umbilical,GSE,EGS-Ground,Essential,170,77297.14,EA
NSN-1535-388204,Solar array wing,Power,EGS-Ground,Critical,267,5569002.76,SET
NSN-2871-380901,Cryo valve assembly,Propulsion,Gateway,Routine,55,409785.37,SET
NSN-5055-412170,Combustion chamber liner,Propulsion,SR1-Freedom,Routine,23,329327.67,EA
NSN-4438-950083,Heat-pipe radiator panel,Thermal,Moon-Base,Routine,17,588646.66,EA
NSN-6747-658136,RAD-hard FPGA board,Avionics,Artemis-3,Essential,88,723439.71,EA
NSN-3221-886530,Turbopump impeller,Propulsion,Moon-Base,Routine,48,187291.7,EA
NSN-7434-613234,MLI blanket set,Thermal,SR1-Freedom,Critical,257,4752373.09,EA
NSN-9447-886224,Ground command toolkit,Software,EGS-Ground,Essential,161,6332.34,EA
NSN-6869-991401,Cryo transfer line,GSE,Moon-Base,Critical,393,3710589.48,EA
NSN-6533-673896,Solar array wing,Power,SR1-Freedom,Essential,169,115000.42,SET
NSN-3035-999312,Flight computer module,Avionics,Moon-Base,Critical,353,6616161.26,EA
NSN-5489-197874,Al-Li dome gore,Structures,Moon-Base,Routine,30,38883.13,EA
NSN-8032-787326,MLI blanket set,Thermal,SR1-Freedom,Critical,168,995638.73,EA
NSN-1152-108454,Mobile launcher umbilical,GSE,Gateway,Routine,51,53163.04,SET
NSN-2678-208214,Turbopump impeller,Propulsion,Moon-Base,Essential,80,171168.76,LOT
NSN-3688-561477,RAD-hard FPGA board,Avionics,Gateway,Essential,83,2149927.32,EA
NSN-3293-888996,Combustion chamber liner,Propulsion,Moon-Base,Critical,316,1858736.31,EA
NSN-5668-916808,Heat-pipe radiator panel,Thermal,EGS-Ground,Routine,20,382164.0,SET
NSN-1894-921875,Li-ion battery module,Power,Moon-Base,Routine,31,374709.42,LOT
NSN-9655-112653,Cryo valve assembly,Propulsion,Gateway,Routine,31,274087.9,EA
NSN-2195-117500,Mobile launcher umbilical,GSE,SR1-Freedom,Essential,112,2371707.69,SET
NSN-9209-904373,Power distribution unit,Power,EGS-Ground,Essential,66,1540175.23,EA
NSN-6077-182860,Combustion chamber liner,Propulsion,Gateway,Essential,84,1466154.94,EA
NSN-8167-865416,Li-ion battery module,Power,Gateway,Routine,22,87029.72,LOT
NSN-6067-798435,RAD-hard FPGA board,Avionics,Moon-Base,Routine,7,526138.14,EA
NSN-6680-648410,Mobile launcher umbilical,GSE,Artemis-3,Essential,87,1832379.65,EA
NSN-6488-946313,RAD-hard FPGA board,Avionics,EGS-Ground,Essential,61,1568887.95,SET
NSN-9368-477617,Mobile launcher umbilical,GSE,Artemis-3,Critical,410,5800069.15,LOT
NSN-4742-876764,Turbopump impeller,Propulsion,Gateway,Essential,48,910036.64,EA
NSN-1579-679720,Composite interstage panel,Structures,Gateway,Routine,27,686894.86,EA
NSN-2276-699298,Li-ion battery module,Power,EGS-Ground,Essential,58,2453537.45,SET
NSN-8620-396020,Cryo valve assembly,Propulsion,Gateway,Routine,12,6021.52,EA
NSN-5979-875501,Solar array wing,Power,Moon-Base,Essential,139,1831198.47,LOT
NSN-3466-106687,MLI blanket set,Thermal,SR1-Freedom,Routine,41,713244.9,EA
NSN-6038-208998,Flight software license,Software,Moon-Base,Critical,241,5337523.32,EA
NSN-4792-986575,Flight computer module,Avionics,EGS-Ground,Essential,162,239078.18,EA
NSN-2226-720647,Ground command toolkit,Software,Artemis-3,Essential,78,2127306.63,SET
NSN-6211-574751,Connector backshell,EEE,SR1-Freedom,Essential,96,388653.07,EA
NSN-8635-429287,Mobile launcher umbilical,GSE,Gateway,Essential,136,770873.05,EA
NSN-2481-265271,Combustion chamber liner,Propulsion,Moon-Base,Routine,20,68450.57,EA
NSN-7492-638401,Space-grade DC-DC converter,EEE,SR1-Freedom,Critical,273,7140746.11,SET
NSN-2551-584487,Ablative TPS tile,Thermal,Moon-Base,Critical,191,980755.46,SET
NSN-2376-710610,Space-grade DC-DC converter,EEE,Gateway,Essential,50,2023275.27,EA
NSN-3007-144770,Rad-hard memory array,EEE,Gateway,Routine,43,372117.47,SET
NSN-3831-471136,Ground command toolkit,Software,Moon-Base,Critical,215,260305.24,LOT
NSN-5835-623125,Ablative TPS tile,Thermal,Artemis-3,Essential,167,957630.74,SET
NSN-9614-361250,Heat-pipe radiator panel,Thermal,Artemis-3,Essential,49,1199289.14,SET
NSN-9231-437226,Connector backshell,EEE,Moon-Base,Essential,51,73404.26,EA
NSN-8728-655149,Flight computer module,Avionics,Moon-Base,Essential,104,1642212.52,EA
NSN-4594-703656,Flight computer module,Avionics,Moon-Base,Routine,60,177447.7,EA
NSN-1462-837623,Space-grade DC-DC converter,EEE,Gateway,Routine,43,406614.06,EA
NSN-1621-194641,Cryo transfer line,GSE,SR1-Freedom,Critical,232,2488305.67,LOT
NSN-3137-457311,Ablative TPS tile,Thermal,EGS-Ground,Routine,8,528535.54,EA
NSN-9622-482614,Turbopump impeller,Propulsion,Artemis-3,Routine,44,226355.29,EA
NSN-8157-930307,Al-Li dome gore,Structures,EGS-Ground,Essential,126,1733946.96,LOT
NSN-4657-797860,Connector backshell,EEE,Artemis-3,Essential,141,318501.81,EA
NSN-1530-290926,Flight software license,Software,Artemis-3,Essential,71,1863396.52,EA
NSN-6234-276042,Space-grade DC-DC converter,EEE,Artemis-3,Essential,130,524329.26,EA
NSN-5205-925250,Rad-hard memory array,EEE,Gateway,Critical,120,7268277.59,SET
NSN-7204-468292,Pad water deluge nozzle,GSE,Moon-Base,Essential,167,406766.88,EA
NSN-5831-121053,Flight computer module,Avionics,Gateway,Essential,63,402387.1,EA
NSN-6536-722886,Cryo valve assembly,Propulsion,Moon-Base,Routine,34,455505.89,SET
NSN-1877-206176,Al-Li dome gore,Structures,EGS-Ground,Essential,149,663272.13,EA
NSN-4891-200575,Li-ion battery module,Power,Artemis-3,Critical,412,29065.07,EA
NSN-8869-309374,Solar array wing,Power,SR1-Freedom,Critical,225,3552016.78,EA
NSN-7512-593821,Power distribution unit,Power,Gateway,Essential,68,462325.32,SET
NSN-4056-567429,Space-grade DC-DC converter,EEE,Artemis-3,Critical,345,4232045.5,EA
NSN-2404-800596,Cryo valve assembly,Propulsion,Moon-Base,Essential,150,1384071.73,SET
NSN-9773-820442,Ground command toolkit,Software,SR1-Freedom,Routine,37,296130.51,EA
NSN-2970-893969,Composite interstage panel,Structures,Moon-Base,Essential,99,106833.35,EA
NSN-4308-962520,Flight software license,Software,SR1-Freedom,Essential,126,970339.67,SET
NSN-5525-644932,Rad-hard memory array,EEE,SR1-Freedom,Essential,178,1036193.83,EA
NSN-2730-690016,Combustion chamber liner,Propulsion,Gateway,Routine,33,491106.29,LOT
NSN-1613-280564,Cryo transfer line,GSE,Artemis-3,Essential,147,1726330.81,EA
NSN-5400-490532,Cryo transfer line,GSE,SR1-Freedom,Critical,275,7293737.2,EA
NSN-5923-879850,Titanium thrust bracket,Structures,EGS-Ground,Essential,113,1613940.2,EA
NSN-4463-963994,Mobile launcher umbilical,GSE,EGS-Ground,Essential,177,1978757.26,EA
NSN-9303-522979,Li-ion battery module,Power,Moon-Base,Critical,388,6277398.44,EA
NSN-8478-153015,Inertial measurement unit,Avionics,EGS-Ground,Routine,30,297733.85,EA
NSN-4963-490559,RAD-hard FPGA board,Avionics,EGS-Ground,Essential,90,874497.29,EA
NSN-2480-398916,Li-ion battery module,Power,Moon-Base,Critical,145,4855507.87,EA
NSN-7709-638214,Power distribution unit,Power,Moon-Base,Critical,124,4508744.11,EA
NSN-5135-737894,MLI blanket set,Thermal,Artemis-3,Routine,34,344272.86,EA
NSN-5950-810091,Pad water deluge nozzle,GSE,Artemis-3,Essential,71,1403708.57,LOT
NSN-5890-817659,Power distribution unit,Power,Artemis-3,Critical,152,6461249.33,EA
NSN-4086-257212,Power distribution unit,Power,Gateway,Essential,59,1651376.73,EA
NSN-9148-409963,RAD-hard FPGA board,Avionics,SR1-Freedom,Essential,148,1457621.8,LOT
NSN-6622-861842,MLI blanket set,Thermal,EGS-Ground,Routine,49,225177.61,EA
NSN-5813-202344,Titanium thrust bracket,Structures,SR1-Freedom,Essential,91,555750.44,EA
NSN-7889-926372,Solar array wing,Power,Gateway,Routine,44,638417.11,SET
NSN-2166-595158,Inertial measurement unit,Avionics,EGS-Ground,Routine,50,223798.39,EA
NSN-3250-310026,Titanium thrust bracket,Structures,Moon-Base,Essential,162,1947386.1,SET
NSN-3897-428638,Space-grade DC-DC converter,EEE,Moon-Base,Essential,160,1440760.85,EA
NSN-2442-235691,Cryo transfer line,GSE,Gateway,Essential,148,11822.14,LOT
NSN-7112-114760,Heat-pipe radiator panel,Thermal,SR1-Freedom,Routine,8,470032.0,EA
NSN-6641-427252,MLI blanket set,Thermal,Moon-Base,Critical,316,490073.29,EA
NSN-5764-578073,Power distribution unit,Power,Moon-Base,Routine,34,257079.21,SET
NSN-4087-272892,Space-grade DC-DC converter,EEE,Moon-Base,Routine,21,158428.17,EA
NSN-3017-484398,Titanium thrust bracket,Structures,EGS-Ground,Routine,47,467368.04,LOT
NSN-2771-785315,Inertial measurement unit,Avionics,Gateway,Routine,33,92735.74,EA
NSN-3508-315477,Pad water deluge nozzle,GSE,SR1-Freedom,Routine,33,496877.41,EA
NSN-7862-971002,Composite interstage panel,Structures,SR1-Freedom,Routine,25,373326.9,LOT
NSN-5308-971889,MLI blanket set,Thermal,Artemis-3,Essential,136,401059.94,LOT
NSN-4402-821634,Mobile launcher umbilical,GSE,SR1-Freedom,Routine,7,680164.22,LOT
NSN-3443-194458,Pad water deluge nozzle,GSE,Moon-Base,Routine,23,342587.87,EA
NSN-8606-152512,Solar array wing,Power,Artemis-3,Critical,209,3195222.35,EA
NSN-1751-110142,Combustion chamber liner,Propulsion,EGS-Ground,Routine,29,201264.98,EA
NSN-6615-291752,Rad-hard memory array,EEE,Gateway,Critical,324,5999333.27,EA
NSN-3171-829987,Cryo valve assembly,Propulsion,Gateway,Routine,33,601707.49,SET
NSN-7221-917012,Titanium thrust bracket,Structures,SR1-Freedom,Essential,78,2219001.68,SET
